fecha,modo,afluencia
2007-01-08,Metrobús,234698
2007-01-09,Metrobús,244648
2007-01-10,Metrobús,246874
2007-01-11,Metrobús,243977
2007-01-12,Metrobús,267639
2007-01-13,Metrobús,134868
2007-01-14,Metrobús,75007
2007-01-15,Metrobús,246119
2007-01-16,Metrobús,250746
2007-01-17,Metrobús,247303
2007-01-18,Metrobús,256417
2007-01-19,Metrobús,258180
2007-01-20,Metrobús,139234
2007-01-21,Metrobús,78776
2007-01-22,Metrobús,251394
2007-01-23,Metrobús,248374
2007-01-24,Metrobús,255495
2007-01-25,Metrobús,254053
2007-01-26,Metrobús,261187
2007-01-27,Metrobús,131123
2007-01-28,Metrobús,75340
2007-01-29,Metrobús,247573
2007-01-30,Metrobús,262977
2007-01-31,Metrobús,262261
2007-02-01,Metrobús,260405
2007-02-02,Metrobús,265587
2007-02-03,Metrobús,157998
2007-02-04,Metrobús,87830
2007-02-05,Metrobús,80982
2007-02-06,Metrobús,261561
2007-02-07,Metrobús,262213
2007-02-08,Metrobús,261781
2007-02-09,Metrobús,267354
2007-02-10,Metrobús,148152
2007-02-11,Metrobús,88296
2007-02-12,Metrobús,242388
2007-02-13,Metrobús,266157
2007-02-14,Metrobús,265868
2007-02-15,Metrobús,250225
2007-02-16,Metrobús,268593
2007-02-17,Metrobús,151689
2007-02-18,Metrobús,82060
2007-02-19,Metrobús,250387
2007-02-20,Metrobús,257743
2007-02-21,Metrobús,251215
2007-02-22,Metrobús,260908
2007-02-23,Metrobús,267746
2007-02-24,Metrobús,150908
2007-02-25,Metrobús,79408
2007-02-26,Metrobús,243841
2007-02-27,Metrobús,269436
2007-02-28,Metrobús,274638
2007-03-01,Metrobús,273989
2007-03-02,Metrobús,281285
2007-03-03,Metrobús,154240
2007-03-04,Metrobús,68418
2007-03-05,Metrobús,251354
2007-03-06,Metrobús,258228
2007-03-07,Metrobús,264450
2007-03-08,Metrobús,257196
2007-03-09,Metrobús,267809
2007-03-10,Metrobús,143552
2007-03-11,Metrobús,72771
